_RAJ2000,_DEJ2000,ADS,Period,Axis,Incl,Ecc
119.3165,1.1328,6483,57.04,0.44,79,0.77
120.617,4.1553,6532,1590,3.426,60.3,0.38
121.0452,33.0362,6549,217.4,0.28,148.1,0.65
120.7778,-6.4131,6547,267,0.787,68.5,0
121.0867,12.3016,6554,44.75,0.453,53.7,0.428
121.5255,-0.7692,6582,151.83,0.51,147.4,0.61
121.8791,-12.2059,6606,209.2,0.38,47.7,0.22
123.0568,17.6521,6650,59.7,0.884,172,0.32
123.0568,17.6521,6650,1150,7.96,144.6,0.26
123.0568,17.6521,6650,17.5,0.191,144,0.11
123.2911,-13.9009,6664,64.65,0.815,51.5,0.69
124.5826,38.9906,6721,295,1.06,97,0.6
124.3134,-5.3756,6719,99.5,0.573,109,0.83
124.3134,-5.3756,6719,161.5,0.394,131.8,0.34
125.2832,47.4022,6746,279.5,0.479,40,0.73
125.3442,-1.6004,6762,435,0.654,45,0.2
125.3442,-1.6004,6762,241.4,0.569,56.3,0.372
125.7732,20.0136,6776,128.57,0.6,79.4,0.69
126.3541,37.393,6796,86,0.24,46.7,0.6
126.7414,32.2064,6814,79.5,0.35,61.8,0.26
126.6632,24.54,6811,21.82,0.19,44.9,0.1
126.2617,-49.1597,,25.63,0.277,41.3,0.24
127.1222,35.0368,,32.7,0.56,128,0.6
126.9224,-4.413,6825,43,0.2,109,0.15
127.1124,-2.5144,6828,53,0.321,84.1,0.45
126.7459,-52.6971,,14.5,0.158,52.7,0.28
127.8933,34.9642,6851,31,0.34,132.2,0.7
128.2806,-24.6075,6871,136.5,0.568,142.5,0.26
128.6275,-32.5938,,13.9,0.16,55.7,0.512
129.8022,-22.669,6914,140,1.888,83.6,0.25
129.838,-36.6032,,66.5,0.527,102,0.86
130.7884,-12.4261,,70.5,0.32,136.5,0.29
130.5245,-52.7592,,76.1,0.4,69.7,0.24
131.5244,-14.3649,6989,215.8,0.495,46.8,0.36
131.7043,6.4177,6993,15.05,0.238,49.3,0.67
131.7043,6.4177,6993,890,4.536,42,0.29
132.164,0.9475,7012,90,0.22,138.2,0.3
132.372,8.8629,7021,194.2,0.34,120,0.51
132.6643,7.8608,7044,414.548,2.968,55.96,0.39
133.2718,54.9583,7054,71.7,0.396,30.4,0.69
133.9681,70.8055,7067,680,5.73,53,0.83
133.733,26.2203,7082,45,0.335,40.6,0.46
133.4643,-47.5135,,7.24,0.104,33.2,0.2
134.8296,48.0468,7114,817.91,9.092,57.8,0.79
134.8296,48.0468,7114,39.69,0.68,108,0.32
135.189,41.794,,21.85,0.619,134.8,0.15
135.1354,32.4106,7124,255.9,0.42,121.7,0.28
135.0193,-12.4564,7131,112.57,0.3,33.3,0.266
135.9078,47.1559,7158,70.1,0.27,105.8,0.04
137.5984,67.1294,7203,1067.1,6.2,146.2,0.814
137.4989,-28.757,7223,64,0.289,124.5,0.51
139.529,77.2525,,70,0.58,134.5,0.44
139.529,77.2525,,72,0.6,135.1,0.45
138.0831,14.9902,,2.65,0.126,124.7,0.31
138.7251,52.7039,7251,975,16.725,21,0.28
139.4825,28.5814,7284,34.2,0.66,77,0.35
139.6463,20.8135,7294,174,0.375,142,0.24
140.2427,38.1935,7307,389.05,1.516,15.8,0.291
139.3321,-68.688,,3.2,0.124,123.6,0.51
140.7202,-9.8439,7334* ,25.4,0.28,75,0.962
141.1234,18.1375,7341,243.41,0.35,0,0
141.5248,28.6519,7365,116.5,0.28,130.7,0.29
142.1125,9.0646,7390,116.85,0.875,64.5,0.56
142.1125,9.0646,7390,118.227,0.88,66.05,0.557
142.8253,-13.4902,,18.3,0.551,140,0.28
142.6917,-40.4734,,33.99,0.795,58.5,0.44
144.4232,15.451,7460,108,0.23,46.5,0.24
145.1716,-57.9883,,10.72,0.142,130,0.34
146.0412,-27.7755,,18.32,0.134,124,0.445
147.8066,36.4827,7541,117,0.19,62.9,0.89
148.0258,54.0654,7545,105.5,0.36,28,0.46
148.1394,-8.1031,7555,77.55,0.383,145.1,0.691
151.0842,-28.3848,7629,315,0.813,141,0.7
152.7212,75.127,,200,2.02,58.3,0.945
151.5403,-47.3706,,232,0.64,35.7,0.72
152.33,20.3267,7662,64.7,0.24,115.8,0.949
153.0329,21.3068,7677,97.5,0.222,24,0.22
153.2902,27.4224,7685,157.5,0.845,124.7,0.949
154.0618,17.7355,7704,552,1.299,131,0.817
154.0695,-28.9817,7706,89.6,0.295,118.2,0.75
154.0075,-59.8988,,124,0.435,53.5,0.12
154.7982,20.5657,7721,460,1.475,128.8,0
154.9941,19.8482,7724,618.56,2.505,36.37,0.843
155.6964,15.3452,7744,306.5,1.74,147,0.535
156.2626,24.6264,7758,1280.68,2.1,107.7,0.28
156.7269,17.2244,7775,139.6,0.424,53.5,0.965
156.9745,36.707,7780,37.92,0.34,77,0.748
157.0494,-25.8106,7787,51.8,0.2,68.9,0.141
159.0291,-26.6679,7846,210.1,0.982,126.1,0.8
159.2502,-8.8352,7854,283.11,1.317,35.22,0.304
159.3325,-48.2192,,16.3,0.34,129.4,0.73
159.9374,8.8458,7871,232,0.549,136,0.041
160.6685,3.5767,7896,84.4,0.378,143,0.55
161.6977,-49.4271,,116.24,1.437,63.15,0.79
163.783,47.2507,,6.7,0.03,59.1,0.22
163.9336,0.7333,7982,128.34,0.823,119.6,0.68
164.6292,17.1982,7997,120.5,0.33,154.7,0.59
165.9489,61.7451,8035,44.4,0.603,152,0.4
165.8832,54.5285,8032,144.8,0.745,150.4,0.7
166.1712,-4.2225,8048,23.71,0.24,47,0.05
166.4033,54.8106,8050,105,0.205,143.5,0.45
