DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
DENIS-P J0006579?643654    ,,J00065794-6436542  ,0,6,57.9,-64,36,54,20.9,3.8,L0  ,     ,     ,     ,     ,16.71,13.39,12.66,     ,12.17,     ,     ,     ,    ,    ,    ,      ,          ,2010,"		",,9.77336629,1.54794915,18.40910549
2MASS J01311838+3801554    ,,J01311838+3801554  ,1,31,18.4,38,1,55,20.9,4.2,L4  ,     ,     ,     ,     ,     ,14.68,13.7,13.05,      ,12.54,12.21,11.98,    ,    ,    ,      ,          ,2006,      ,,7.88779028,0.034417196,19.3543685
WISEPA J082131.63+144319.3 ,,                   ,8,21,31.6,14,43,19,20.9,    ,T5.5,     ,     ,     ,     ,     ,16.78,16.59,16.58,      ,16.44,14.28,12.57,700,    ,    ,      ,          ,2011,      ,,8.553555691,1.623943289,19.00024982
SDSS J121440.95+631643.4 B ,x,J12144089+6316434  ,12,14,40.9,63,16,43,20.9,    ,T8  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,975,    ,    ,      ,          ,2008,      ,,9.247279925,0.646632804,18.73178262
2MASS J22092183-2711329    ,,J22092183-2711329  ,22,9,21.8,-27,11,33,20.88,5.45,T2.5,     ,     ,     ,     ,     ,15.79,15.14,15.1,      ,14.62,13.51,12.35,1300,1,    ,      ,          ,     ,      ,,9.681561922,0.465038767,18.49393137
SDSS J110612.00+275420.0   ,,J11061197+2754225  ,11,6,12,27,54,23,20.83,1.3,T2.5,     ,     ,     ,     ,     ,14.82,14.15,13.8,      ,13.18,12.33,11.55,    ,    ,    ,      ,          ,2002,      ,,9.649058537,2.316534,18.31442709
DENIS-P J0823031-491201 A  ,x,J08230313-4912012  ,8,23,3.1,-49,12,1,20.76,0.08,L1.5,     ,     ,20.02,     ,17.1,13.55,12.64,12.06,      ,     ,     ,     ,    ,    ,78,      ,          ,1997,      ,,8.51057657,0.446020418,18.93010175
DENIS-P J0823031-491201 B  ,x,J08230313-4912012  ,8,23,3.1,-49,12,1,20.76,0.08,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,29,0.36,0.675,2013,      ,,8.51057657,0.446020418,18.93010175
2MASS J16272794+8105075    ,,J16272794+8105075  ,16,27,27.9,81,5,8,20.7,1.4,M9  ,     ,     ,     ,     ,16.8,13.04,12.33,11.87,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,8.130657233,0.177411572,19.0355178
2MASS J22341394+2359559    ,,J22341394+2359559  ,22,34,13.9,23,59,56,20.7,1.3,M9.5,     ,     ,     ,     ,16.5,13.18,12.35,11.84,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,7.317736389,1.926599209,19.2673026
SDSS J152613.92+204339.0   ,,J15261405+2043414  ,15,26,14.1,20,43,41,20.62,3.7,L7  ,     ,     ,     ,     ,19.1,15.59,14.5,13.92,      ,13.15,12.79,12.18,    ,    ,    ,      ,          ,2000,      ,,8.058855672,1.530021555,18.91819968
WISEPA J012333.21+414203.9 ,,                   ,1,23,33.2,41,42,4,20.6,    ,T7  ,     ,     ,     ,     ,     ,17.38,17.2,18.37,      ,17.12,14.85,12.99,825,    ,    ,      ,          ,2011,      ,,8.274519032,1.533591455,18.80267087
WISEPA J062542.21+564625.5 ,,                   ,6,25,42.2,56,46,26,20.6,    ,T6  ,     ,     ,     ,     ,     ,17.1,16.9,16.84,      ,16.56,14.32,12.62,975,    ,    ,      ,          ,2011,      ,,8.073284106,1.642528215,18.88078878
SDSS J130541.04+204639.8   ,,J13054106+2046394  ,13,5,41.1,20,46,39,20.6,3.9,L4  ,     ,     ,     ,20.11,     ,15.2,14.04,13.37,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,9.656514789,1.964640138,18.09010534
2MASS J11061197+2754225 B  ,x,J11061197+2754225 B,11,6,12,27,54,23,20.6,1.1,T4  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,1.5,          ,2010,      ,,9.542515884,2.290955372,18.11220346
EQ 0524+4646               ,,                   ,5,24,39.3,46,46,31,20.5,    ,T9  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012, UNCON,,8.118229259,1.65167241,18.75143546
DENIS-P J1019245?270717    ,,J10192447-2707171  ,10,19,24.5,-27,7,17,20.5,3.6,L0.5,     ,     ,19.75,     ,16.9,13.53,12.91,     ,12.47,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,8.707547223,0.266039629,18.55688132
2MASS J15531993+1400337    ,,J15531993+1400337  ,15,53,19.9,14,0,34,20.5,1.3,M9  ,     ,     ,18.57,     ,16.14,13.02,12.27,11.85,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,5.879609088,0,19.63874225
WISE J133300.03-160754.4   ,,                   ,13,33,0,-16,7,54,20.5,3.5,T8  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,7.592884426,0.231983601,19.04059583
GJ 337 C                   ,x,J09121469+1459396  ,9,12,14.7,14,59,40,20.48,0.39,L8  ,     ,     ,     ,     ,     ,15.51,14.62,14.76,14.04,     ,     ,     ,    ,    ,20,880,          ,2001,      ,,8.972458158,2.362251094,18.25774259
GJ 337 D                   ,x,J09121469+1459396  ,9,12,14.7,14,59,40,20.48,0.39,T10 ,     ,     ,     ,     ,     ,     ,     ,14.84,      ,     ,     ,     ,    ,    ,20,10.9,152,2005,      ,,8.972458158,2.362251094,18.25774259
2MASS J23515044-2537367    ,,J23515044-2537367  ,23,51,50.4,-25,37,37,20.41,4.16,L0.5,     ,     ,     ,     ,15.41,12.47,11.73,11.27,      ,10.93,10.68,10.3,2600,1.16,88,      ,          ,     , UNCON,,5.90315746,0.961390242,19.51400935
DENIS-P J2126340?314322    ,,J21263403-3143224  ,21,26,34,-31,43,22,20.4,4,M9.5,     ,     ,     ,     ,16.26,13.47,12.79,12.36,12.29,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,7.946254977,1.508643645,18.72808122
WISEP J041358.14-475039.3  ,,                   ,4,13,58.1,-47,50,39,20.3,    ,T9  ,     ,     ,     ,     ,     ,20.29,20.12,     ,      ,19.39,15.69,13.14,525,    ,    ,      ,          ,2013,      ,,8.845559816,1.961013399,18.16591583
SDSS J110927.19-160653.7   ,,J11092745-1606515  ,11,9,27.2,-16,6,54,20.3,3.9,L0  ,     ,     ,     ,19.28,     ,14.97,14.35,13.89,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,9.413193545,0.246493148,17.98391026
2MASS J11240434+3808108 B  ,x,J11240434+3808108 B,11,24,4.3,38,8,11,20.3,1.3,M9.5,     ,     ,     ,17.18,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,81,170,          ,     , UNCON,,8.24592809,0.287954154,18.54755381
DENIS-P J122821.6-241541 A ,x,                   ,12,28,21.6,-24,15,41,20.2,    ,L5  ,     ,     ,     ,     ,18,14.28,13.4,12.71,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,7.846714905,0.514300867,18.60657303
DENIS-P J122821.6-241541 B ,x,                   ,12,28,21.6,-24,15,41,20.2,    ,L4.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,7.846714905,0.514300867,18.60657303
SDSS J143435.92+220247.2   ,,J14343616+2202463  ,14,34,36.2,22,2,46,20.2,3.8,L2.5,     ,     ,     ,     ,     ,14.52,13.83,13.55,      ,13.25,12.88,     ,    ,    ,    ,      ,          ,2009,      ,,7.353542103,0.06417339,18.81385926
DENIS-P J2150149?752035    ,,J21501592-7520367  ,21,50,15.9,-75,20,37,20.1,3.6,L1  ,     ,     ,     ,     ,17.45,14.06,13.18,12.67,12.55,     ,     ,     ,    ,    ,    ,      ,          ,1999,      ,,5.999101377,0.524853362,19.17668667
WISE J220117.10+322206.9   ,x,                   ,22,1,17.1,32,22,7,20.1,2.1,T2.5,     ,     ,     ,     ,     ,16.13,15.63,     ,15.34,14.71,13.63,12.29,    ,    ,    ,      ,          ,2015,      ,,9.906424978,0.953880232,17.46318575
WISE J220117.10+322206.9 B ,x,                   ,22,1,17.1,32,22,7,20.1,2.1,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,P,9.906424978,0.953880232,17.46318575
SDSS J204749.61-071818.3   ,,A J20474959-071817 ,20,47,49.6,-7,18,18,20.04,3.17,T0  ,     ,     ,     ,     ,     ,16.95,15.91,14.99,      ,     ,     ,     ,    ,    ,    ,      ,          ,2004,      ,,6.187978966,0.487004506,19.05448354
SDSSp J132629.82-003831.5  ,,J13262981-0038314  ,13,26,29.8,0,38,31,20.01,2.53,L8  ,     ,     ,     ,     ,     ,16.1,15.05,14.21,14.16,13.27,12.72,11.82,    ,    ,    ,      ,          ,2000,      ,,7.830301642,1.310343107,18.36762034
SSSPM J0109-4955           ,,J01090918-4954532  ,1,9,9.2,-49,54,53,20,1,L1  ,     ,     ,     ,     ,     ,13.55,12.88,12.45,      ,     ,     ,     ,    ,    ,    ,      ,          ,2005,      ,,9.043474354,2.171146101,17.70597911
SDSS J102248.13+582544.7   ,,J10224821+5825453  ,10,22,48.2,58,25,45,20,1,L1  ,     ,     ,     ,     ,     ,13.5,12.64,12.16,      ,     ,     ,     ,2200,    ,    ,      ,          ,2006,      ,,8.181105587,0.895976781,18.22818524
PSO J201.0320+19.1072      ,,                   ,13,24,7.7,19,6,26,20,4,T3.5,     ,     ,     ,     ,     ,15.77,15.47,15.41,      ,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,8.121716549,0.212674633,18.27546141
SDSS J142131.13+182739.7   ,,J14213145+1827407  ,14,21,31.5,18,27,41,20,1,L0  ,     ,     ,     ,     ,     ,13.23,12.43,11.94,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,8.273815725,0.979270624,18.18199666
SDSS J143130.78+143653.4   ,,J14313097+1436539  ,14,31,31,14,36,54,20,3.8,L2  ,     ,     ,     ,19.71,     ,15.15,14.5,14.13,      ,13.72,13.36,12.56,    ,    ,    ,      ,          ,2009,      ,,7.438500823,1.17814279,18.52783541
SDSS J155259.02+294848.3   ,,J15525906+2948485  ,15,52,59.1,29,48,49,20,1,L1  ,     ,     ,     ,18.11,     ,13.48,12.61,12.02,      ,     ,     ,     ,2000,    ,    ,      ,          ,2003,      ,,5.639195819,1.198648074,19.15104993
WISE J174102.78-464225.5   ,,                   ,17,41,2.8,-46,42,26,20,0,L7  ,     ,     ,     ,     ,     ,15.79,14.53,13.44,      ,12.3,11.68,11.43,1450,    ,13,      ,          ,2014,      ,,6.641396593,1.230910101,18.82489606
2MASS J19285196-4356256    ,,J19285196-4356256  ,19,28,52,-43,56,26,20,2,L4  ,     ,     ,     ,     ,     ,15.2,14.13,13.46,      ,12.82,12.56,12.37,    ,    ,    ,      ,          ,2000,      ,,7.514890157,1.873672554,18.43951673
2MASS J21324898-1452544    ,,J21324898-1452544  ,21,32,49,-14,52,54,20,  ? ,T3  ,     ,     ,     ,     ,     ,15.71,15.38,15.27,      ,14.96,13.64,12.01,    ,    ,    ,      ,          ,     ,      ,,7.235678204,1.670487939,18.57025662
WISEP J214706.78-102924.0  ,,                   ,21,47,6.8,-10,29,24,20,  ? ,T7.5,     ,     ,     ,     ,     ,17.66,17.81,17.12,      ,17.6,15.06,12.47,    ,    ,    ,      ,          ,2013,      ,,6.203882544,0.789233544,18.99707745
SSSPM J2307-5009           ,,J23065876-5008589  ,23,6,58.8,-50,8,59,20,  ? ,L0.5,     ,     ,     ,     ,     ,13.39,12.7,12.24,      ,     ,     ,     ,    ,    ,    ,      ,          ,2005,      ,,9.462163144,0.330426018,17.6169886
2MASS J23440624-0733282    ,,J23440624-0733282  ,23,44,6.2,-7,33,28,20,2,L4.5,     ,     ,     ,     ,     ,14.8,13.85,13.23,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,6.435540845,0.933109014,18.91330541
2MASSI J0019457+521317 B   ,x,I J0019457+521317 B,0,19,45.7,52,13,17,20,2,T7  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,8.457586013,0.480256538,18.11735611
GJ 660.1 B                 ,x,J17125127-0507311  ,17,12,51.3,-5,7,31,19.96,1.44,M9  ,     ,     ,     ,     ,     ,13.05,12.57,     ,12.23,     ,     ,     ,    ,    ,    ,121,          ,2011, UNCON,,8.991044455,0.274701253,17.81817215
WISEPA J061213.93-303612.7 ,,                   ,6,12,13.9,-30,36,13,19.9,    ,T6  ,     ,     ,     ,     ,     ,17,17.06,17.34,      ,16.59,14.04,12.96,975,    ,    ,      ,          ,2011,      ,,8.90547529,1.41048872,17.74015308
WISEPC J092906.77+040957.9 ,,                   ,9,29,6.8,4,9,58,19.9,    ,T6.5,     ,     ,     ,     ,     ,17.21,17.37,17.4,17.4,16.55,14.11,12.13,975,    ,    ,      ,          ,2011,      ,,7.680546057,0.301769476,18.35560262
WISE J145731.67+472420.1   ,,                   ,14,57,31.7,47,24,20,19.9,1.8,T7  ,     ,     ,     ,     ,     ,17.08,17.43,     ,17.09,16.72,14.62,12.66,    ,    ,    ,      ,          ,2015,      ,,5.328148828,0.560011008,19.1652607
2MASS J21513839-4853542    ,,J21513839-4853542  ,21,51,38.4,-48,53,54,19.84,2.64,T4  ,     ,     ,     ,     ,     ,15.73,15.17,15.43,      ,14.95,13.63,12.2,    ,    ,    ,      ,          ,2002,      ,,5.675239397,1.33634149,18.96395131
DENIS-P J020529.0-115925 A ,x,J02052940-1159296  ,2,5,29.4,-11,59,30,19.76,0.59,L7  ,     ,     ,     ,     ,18.3,14.59,13.57,13,      ,12.22,11.72,10.87,    ,    ,52,      ,          ,1997,      ,,9.155291696,2.410387148,17.34440163
DENIS-P J020529.0-115925 B ,x,J02052940-1159296  ,2,5,29.4,-11,59,30,19.76,0.59,L7  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,52,9.2,105,1997,      ,,9.155291696,2.410387148,17.34440163
DENIS-P J020529.0-115925 C ,x,J02052940-1159296  ,2,5,29.4,-11,59,30,19.76,0.59,T0  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,42,1.3,          ,2005, UNCON,,9.155291696,2.410387148,17.34440163
2MASS J14083421-5307378    ,,J14083421-5307378  ,14,8,34.2,-53,7,38,19.71,2.4,L5.5,     ,     ,     ,     ,19.05,15.16,14.37,13.85,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,9.205677668,0.281258891,17.425857
SDSS J154849.02+172235.4   ,,J15484912+1722359  ,15,48,49.1,17,22,36,19.7,3.8,L5  ,     ,     ,     ,21.34,     ,16.1,15.14,14.46,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,5.992978945,0.577058239,18.75743072
DENIS-P J1745346-164053    ,,J17453466-1640538  ,17,45,34.7,-16,40,54,19.66,0.04,L1.5,     ,     ,     ,     ,16.98,13.65,12.88,12.4,      ,     ,     ,     ,    ,    ,79,      ,          ,2002,      ,,6.177208151,1.089208462,18.63253403
2MASSW J2349489+122438     ,,J23494899+1224386  ,23,49,49,12,24,39,19.6,1.6,L4  ,18.8,     ,18.5,     ,15.4,12.6,11.97,11.56,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,5.876416049,0.617636215,18.68813153
G 216-7 B                  ,x,J22373255+3922398  ,22,37,32.6,39,22,40,19.54,0.62,M9.5,     ,     ,19.2,     ,16.1,13.34,12.69,12.18,12.18,     ,     ,     ,    ,    ,73,630,          ,2001,      ,,6.847836152,0.659371625,18.28890289
2MASS J22373255+3922398    ,,J22373255+3922398  ,22,37,32.6,39,22,40,19.54,0.62,M9.5,     ,     ,     ,     ,     ,13.34,12.69,12.18,      ,11.71,11.43,11.01,2173,1.04,73,      ,          ,     ,      ,,6.847836152,0.659371625,18.28890289
DENIS J063001.4-184014 A   ,x,J06300140-1840143  ,6,30,1.4,-18,40,14,19.52,0.03,M8.5,     ,     ,     ,     ,15.88,12.68,11.93,11.46,11.46,     ,     ,     ,    ,    ,90,      ,          ,2008, UNCON,,7.354686595,1.296829681,18.03488891
DENIS J063001.4-184014 B   ,x,J06300140-1840143  ,6,30,1.4,-18,40,14,19.52,0.03,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,71,1.1,3.0665,2015,      ,,7.354686595,1.296829681,18.03488891
2MASS J00192626+4614078    ,,J00192626+4614078  ,0,19,26.3,46,14,8,19.5,1.6,M8  ,20,     ,     ,     ,     ,12.6,11.94,11.5,11.5,     ,     ,     ,2600,    ,65,      ,          ,2003,"		",,8.268891154,0.505747049,17.65275217
WISEP J081220.04+402106.2  ,,                   ,8,12,20,40,21,6,19.5,    ,T8  ,     ,     ,     ,     ,     ,18.39,18.3,19.15,      ,18.24,15.08,12.76,675,    ,    ,      ,          ,2013,      ,,8.790502871,0.807733743,17.38748474
DENIS-P J1633131?755322    ,,J16331306-7553232  ,16,33,13.1,-75,53,23,19.5,3.3,M9.5,     ,     ,     ,     ,16.12,13.15,12.51,     ,12.13,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,7.016713793,1.65221678,18.11866185
WISE J191011.03+563429.3   ,,                   ,19,10,11,56,34,29,19.5,3.5,L1.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,8.891508473,1.328844845,17.30390847
SDSS J104409.43+042937.6   ,,J10440942+0429376  ,10,44,9.4,4,29,38,19.49,3.84,L7  ,     ,     ,     ,     ,     ,15.88,14.95,14.26,      ,     ,     ,     ,    ,    ,    ,      ,          ,2004,      ,,6.282094143,0.799183316,18.43249031
Beta Pic b                 ,x,                   ,5,47,17.1,-51,3,59,19.44,0.05,L   ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,8,9.55,16,2010,      ,,6.064421544,0.079387627,18.46970733
DENIS-P J0301488?590302    ,,J03014892-5903021  ,3,1,48.9,-59,3,2,19.4,3.4,L0  ,     ,     ,     ,     ,16.8,13.52,12.86,     ,12.31,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,9.565824096,0.125223497,16.87718366
WISE J003231.09-494651.4   ,,                   ,0,32,1.1,-49,46,51,19.3,    ,T8.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,18.08,15.07,     ,675,    ,    ,      ,          ,2012,      ,,7.083361975,1.441126281,17.89522669
DENIS-P J0000286?124514    ,,J00002867-1245153  ,0,0,28.7,-12,45,15,19.2,3.6,M9.5,     ,     ,18.73,     ,16.16,13.2,12.45,     ,11.97,     ,     ,     ,    ,    ,    ,      ,          ,2010,"		",,9.381481009,1.866092597,16.6476879
WISEPC J004928.48+044100.1 ,,                   ,0,49,28.5,4,41,0,19.2,    ,L9  ,     ,     ,     ,22.3,     ,15.85,14.67,14.17,14.13,13.45,12.94,12.24,    ,    ,    ,      ,          ,2010,      ,,5.722671779,1.034827633,18.29809169
LHS 2803 B                 ,x,J13480290-1344071  ,13,48,2.9,-13,44,7,19.2,0.9,T5.5,     ,     ,     ,     ,     ,16.48,16.09,17.01,16.45,16.15,14.18,12.14,1030,    ,42,1298,          ,2012,      ,,5.820337691,1.13135904,18.26153597
SDSS J154009.36+374230.3   ,,J15400942+3742316  ,15,40,9.4,37,42,32,19.2,3.9,L9  ,     ,     ,     ,     ,     ,16.56,15.35,14.74,      ,14,13.57,12.11,    ,    ,    ,      ,          ,2002,      ,,6.444696967,1.194453981,18.04658308
DENIS-P J2143510?833712    ,,J21435174-8337135  ,21,43,51.7,-83,37,14,19.2,3.2,L0  ,     ,     ,     ,     ,16.08,13.34,12.76,12.4,12.22,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,6.180438031,1.00654825,18.15018034
2MASS J16154245+0546400    ,,J16154245+0546400  ,16,15,42.5,5,46,40,19.2,1.3,M9  ,     ,     ,     ,     ,     ,12.88,     ,11.74,      ,     ,     ,     ,    ,    ,    ,      ,          ,     , UNCON,,8.269271867,1.682402376,17.24612029
SDSSp J111010.01+011613.1  ,,J11101001+0116130  ,11,10,10,1,16,13,19.19,0.44,T5.5,     ,     ,     ,24.26,     ,16.34,15.92,15.13,16.05,15.59,13.99,11.89,1060,0.92,41,      ,          ,2002,      ,,8.827020305,0.617245389,17.02817726
GJ 3483 B                  ,x,J08065373-6618167  ,8,6,53.7,-66,18,17,19.16,0.62,Y   ,     ,     ,     ,     ,     ,23.9,     ,     ,      ,     ,     ,     ,322,    ,8,130,          ,2011,      ,,9.048556515,0.712136842,16.87370991
2MASS J14263161+1557012 A  ,x,J14263161+1557012  ,14,26,31.6,15,57,1,19.1,1.3,M8.5,     ,     ,     ,     ,16.5,13.36,12.63,12.2,12.07,     ,     ,     ,2400,1.37,87,      ,          ,2003, UNCON,,7.342733865,1.864816838,17.5333031
2MASS J14263161+1557012 B  ,x,J14263161+1557012  ,14,26,31.6,15,57,1,19.1,1.3,L1  ,     ,     ,     ,     ,     ,14.13,13.34,12.8,12.64,     ,     ,     ,2240,1.12,79,43,1985,2003,      ,,7.342733865,1.864816838,17.5333031
WISEP J172134.46+111739.4  ,,                   ,17,21,34.5,11,17,39,19.1,    ,T6  ,     ,     ,     ,     ,     ,16.46,16.24,16.12,      ,15.9,14.28,12.27,975,    ,    ,      ,          ,2013,      ,,7.93098858,0.58937426,17.36554226
WISE J033053.14-035027.3   ,,                   ,3,30,53.1,-3,50,27,19.1,2.3,L9  ,     ,     ,     ,     ,     ,16.26,15.24,     ,14.58,13.65,12.93,12.07,    ,    ,    ,      ,          ,2015,      ,,7.069416108,1.567251819,17.67419242
2MASS J01230050-3610306    ,,J01230050-3610306  ,1,23,0.5,-36,10,31,19,  ? ,L2  ,     ,     ,17.4,     ,     ,13.64,13.11,12.19,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,7.795601541,0.340363314,17.32376257
2MASS J01231125-6921379    ,,J01231125-6921379  ,1,23,11.3,-69,21,38,19,2,M8  ,     ,     ,     ,     ,     ,12.32,11.71,11.32,11.32,     ,     ,     ,2600,    ,65,      ,          ,2007,      ,,7.756742658,0.712744524,17.32988571
2MASS J02284243+1639329    ,,J02284243+1639329  ,2,28,42.4,16,39,33,19,2,L0  ,     ,     ,     ,     ,     ,13.17,12.33,11.82,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,7.263477752,1.248093746,17.51239998
2MASSW J0310599+164816 A   ,x,J03105986+1648155  ,3,10,59.9,16,48,16,19,1,L9  ,24.8,     ,     ,     ,     ,16.73,15.66,15.07,      ,     ,     ,     ,    ,    ,22,      ,          ,2000,      ,,8.509617311,1.808774997,16.89126242
2MASS J05431887+6422528    ,,J05431887+6422528  ,5,43,18.9,64,22,53,19,  ? ,L1  ,     ,     ,     ,     ,     ,13.57,12.67,12.05,      ,     ,     ,     ,2200,    ,    ,      ,          ,2008,      ,,6.210736704,0.598025926,17.94628414
WISEP J070159.79+632129.2  ,,                   ,7,1,59.8,63,21,29,19,  ? ,T3  ,     ,     ,     ,     ,     ,15.79,15.08,14.88,      ,14.2,13.22,12.48,    ,    ,    ,      ,          ,2013,      ,,9.317037852,0.856115511,16.53662214
SDSS J085234.90+472035.0   ,,J08523490+4720359  ,8,52,34.9,47,20,36,19,2,L9.5,     ,     ,     ,     ,     ,16.18,15.42,14.72,      ,13.76,13.18,11.74,    ,    ,    ,      ,          ,2002,      ,,5.487966486,0.480134853,18.18383057
LHS 5166 B                 ,x,J10043929-3335189  ,10,4,39.3,-33,35,19,19,2,L4  ,     ,     ,     ,     ,     ,14.48,13.49,12.92,      ,12.29,12,12.67,    ,    ,73,160,          ,1999,      ,,9.057198623,1.3940362,16.64403245
WISEP J114340.22+443123.8  ,,                   ,11,43,40.2,44,31,24,19,  ? ,T8.5,     ,     ,     ,     ,     ,18.76,19.04,     ,      ,18.51,15.27,13,    ,    ,    ,      ,          ,2013,      ,,6.154918141,0.837647596,17.95592741
SDSSp J120358.19+001550.3  ,,J12035812+0015500  ,12,3,58.1,0,15,50,19,2,L3  ,     ,     ,     ,18.88,18.88,14.01,13.06,12.48,      ,     ,     ,     ,1600,1.52,    ,      ,          ,2000,      ,,9.193951613,0.602603426,16.61650152
SDSS J121951.45+312849.4   ,,J12195156+3128497  ,12,19,51.6,31,28,50,19,2,L8  ,     ,     ,     ,     ,     ,15.91,14.91,14.31,      ,     ,     ,     ,    ,    ,    ,      ,          ,2006,      ,,7.980333569,0.979861753,17.21493965
SDSS J122127.70+025719.7   ,,J12212770+0257198  ,12,21,27.7,2,57,20,19,1,L0  ,     ,     ,     ,17.41,     ,13.17,12.41,11.95,      ,     ,     ,     ,2000,1.3,    ,      ,          ,2000,      ,,7.676077134,1.949475244,17.27070891
WISE J125448.52-072828.4   ,,                   ,12,54,48.5,-7,28,28,19,1,T7  ,     ,     ,     ,     ,     ,17.3,17.63,     ,      ,17.21,14.85,12.14,    ,    ,    ,      ,          ,2013,      ,,5.292260423,0.649807872,18.23649444
WISEP J125715.90+400854.2  ,,                   ,12,57,15.9,40,8,54,19,  ? ,T7  ,     ,     ,     ,     ,     ,17.23,16.96,17,      ,16.74,14.47,12.4,    ,    ,    ,      ,          ,2013,      ,,5.133091759,0.179251514,18.29260063
2MASS J13153094-2649513 B  ,x,J13153094-2649513  ,13,15,30.9,-26,49,51,19,3,T7  ,     ,     ,     ,     ,     ,18.2,18.66,18.79,      ,     ,     ,     ,790,0.91,28,6.6,52,2011,      ,,8.174706136,1.774902689,17.05942262
2MASS J15461461+4932114    ,,J15461461+4932114  ,15,46,14.8,49,32,14,19,    ,T2.5,     ,     ,     ,     ,     ,15.9,15.14,14.9,      ,14.49,13.45,12.08,    ,    ,    ,      ,          ,2008,      ,,5.950909302,0.836345761,18.02462771
WISEPA J171104.60+350036.8 B,x,                   ,17,11,4.6,35,0,37,19,3,T9.5,     ,     ,     ,     ,     ,20.5,20.96,     ,21.38,     ,     ,     ,480,    ,17,15,700,2012,      ,,8.69395339,0,16.89423495
WISEPA J171104.60+350036.8 A,x,                   ,17,11,4.6,35,0,37,19,3,T8  ,     ,     ,     ,     ,     ,17.67,18.13,     ,18.3,18.27,14.61,12.72,770,    ,33,      ,          ,2011,      ,,8.69395339,0,16.89423495
WISEP J174303.71+421150.0  ,,                   ,17,43,3.7,42,11,50,19,  ? ,T4.5,     ,     ,     ,     ,     ,15.84,15.57,15.43,      ,15.4,13.92,12.38,    ,    ,    ,      ,          ,2013,      ,,6.252087221,0.300309284,17.93937624
WISE J191915.54+304558.4   ,,                   ,19,19,15.5,30,45,58,19,1,L6  ,     ,     ,     ,     ,     ,15.57,14.6,13.95,      ,13.39,12.94,11.72,    ,    ,    ,      ,          ,2013,      ,,7.930071239,1.577389244,17.19377252
2MASS J20115649-6201127    ,,J20115649-6201127  ,20,11,56.5,-62,1,13,19,  ? ,T1  ,     ,     ,     ,     ,     ,15.57,15.1,14.57,      ,14.43,14.12,12.37,    ,    ,    ,      ,          ,     ,      ,,8.630045985,0.037655918,16.92692791
2MASS J21022212-6046181    ,,J21022212-6046181  ,21,2,22.1,-60,46,18,19,  ? ,T2  ,     ,     ,     ,     ,     ,15.63,15.2,14.83,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,9.142166765,1.85999485,16.5517735
