DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
2MASS J19223062+6610194    ,,J19223062+6610194  ,19,22,30.6,66,10,19,31,  ? ,L1  ,     ,     ,     ,     ,     ,14.57,13.69,13.16,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,12.78051005,0.55800912,28.23733679
CFBDS J204803-183212       ,,                   ,20,48,3.6,-18,32,13,31,7,T4.5,     ,     ,     ,23.81,     ,16.44,16.55,16.6,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,9.478655754,1.332138192,29.48525891
2MASSI J2107316-030733     ,,J21073169-0307337  ,21,7,31.7,-3,7,34,31,2,L0  ,     ,     ,     ,     ,     ,14.2,13.44,12.88,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,14.60310461,0.446165199,27.34136559
DENIS-P J2330226?034717    ,,J23302258-0347189  ,23,30,22.6,-3,47,19,31,4,L1  ,     ,     ,     ,     ,17.74,14.48,13.75,13.12,13.13,     ,     ,     ,    ,    ,    ,      ,          ,2007,      ,,11.56849882,2.406251214,28.65972418
2MASS J23392527+3507165    ,,J23392527+3507165  ,23,39,25.3,35,7,17,31,  ? ,L3.5,     ,     ,     ,     ,     ,15.36,14.35,13.59,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,10.67112062,0.326032222,29.10362328
DENIS-P J0230450?095305    ,,J02304498-0953050  ,2,30,45,-9,53,5,30.86,3.52,L0  ,     ,     ,     ,     ,18.24,14.68,13.91,13.4,12.99,12.94,12.7,11.9,1650,1,    ,      ,          ,2010,      ,,11.40435072,2.685368135,28.5494165
HD 19467 B                 ,x,J03071857-1345421  ,3,7,18.6,-13,45,42,30.86,0.59,T6  ,     ,     ,     ,     ,     ,17.61,17.9,17.97,      ,     ,     ,     ,1050,    ,57,72.5,1110,2014,      ,,14.28990549,2.842438931,27.2040207
2MASS J08564793+2235182 A  ,x,J08564793+2235182  ,8,56,47.9,22,35,18,30.86,0.95,L5  ,     ,     ,     ,     ,19.2,15.68,14.58,13.95,      ,     ,     ,     ,    ,    ,74,      ,          ,2003,      ,,8.304988647,1.278260011,29.69398617
2MASS J08564793+2235182 B  ,x,J08564793+2235182  ,8,56,47.9,22,35,18,30.86,0.95,L8  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,67,3.4,24,2003,      ,,8.304988647,1.278260011,29.69398617
SDSS J090948.13+194043.9   ,,                   ,9,9,48.1,19,40,44,30.8,5.9,L1  ,     ,     ,     ,19.13,     ,14.73,13.93,13.44,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,14.02907335,2.473704146,27.30761595
