_RAJ2000,_DEJ2000,Teff,R*,e_R*,M*,e_M*,Dist,HIP
41.563387,25.649866,5177,1.07772,0.0939033,1.01547,0.123778,25.17997386,12926
42.038106,27.068636,5253,0.97182,0.0822565,0.961766,0.122992,22.88250975,13081
42.333957,53.023028,5271,0.939039,0.104018,0.967985,0.123649,28.40102244,13169
42.5405,-53.139,3630,0.464,0.014,0.518,0.003,21.51047497,13218
42.984364,-30.814529,6308.31,1.30484,0.118929,1.1988,0.189962,31.65458517,13363
43.0924,-63.6798,3436,0.373,0.013,0.399,0.01,20.16693971,13389
43.095034,63.409874,6068,1.51361,0.135508,1.55827,0.367724,30.04554905,13394
43.133908,-12.769773,5224.84,0.801926,0.0300139,0.89897278,0.0577999,10.38098204,13402
43.511593,-35.904668,5159,0.837422,0.0833312,0.77981,0.0919834,28.61377696,13513
43.822535,16.309215,5483.46,1.14406,0.0998317,0.943609,0.120257,26.90949798,13601
43.912695,26.873272,5558,0.929951,0.124865,0.979493,0.124455,22.55056793,13642
43.987206,61.52112,6492,1.44794,0.128375,1.23688,0.213755,26.7094,13665
44.1435,55.4373,3632,0.458,0.077,0.487,0.098,22.36660149,13714
44.1469,55.4416,3759,0.522,0.084,0.563,0.107,31.49379527,13716
44.521774,20.668726,6681.83,10.116,0.890081,1.34784,0.283664,31.83699474,13834
44.718447,26.774055,5575,0.871841,0.106777,0.983787,0.124566,29.3255,13891
45.01169,7.749737,5051,1.25068,0.108701,1.11536,0.144117,23.59481103,13976
45.406843,-28.091514,5099.41,2.69512,0.138422,1.074729225,0.0733466,30.35822835,14086
45.4642,-16.5934,3562,0.271,0.008,0.252,0.003,20.03318493,14101
45.598029,-23.624496,7940.73,NaN ,NaN  ,NaN      ,NaN,26.42007926,14146
45.608419,26.609188,5648,1.22445,0.109961,1.11847,0.145541,21.45655094,14150
45.6586,-18.1663,3564,0.454,0.014,0.507,0.004,30.30400298,14165
45.961752,6.133283,6096,1.23839,0.109878,1.31678,0.2646,31.49606299,14258
46.04014,61.705885,5736.59,1.42373,0.122006,1.32294,0.268433,23.40270676,14286
46.827407,-13.761819,5747,1.37569,0.11929,1.00182,0.124308,31.7425048,14501
46.9823,-28.2197,3903,0.614,0.019,0.636,0.013,23.1981115,14555
47.0278,-24.7596,3978,0.618,0.092,0.669,0.116,28.14560098,14568
47.218523,-24.887653,5769.06,0.986564,0.085539,1.02166,0.123659,29.34306741,14623
47.266541,49.613289,5938,1.50197,0.126679,1.16314,0.168868,10.53407774,14632
47.3783,45.7327,3597,0.639,0.022,0.659,0.016,15.03401572,14669
47.9868,61.5203,3933,0.601,0.088,0.651,0.113,25.87711104,14864
48.018602,-28.987496,6181.28,2.02334,0.174523,1.0214,0.123664,14.11233418,14879
48.193573,-1.196091,6188,NaN ,NaN  ,1.36,NaN,22.37637124,14954
48.696785,8.9808,5098,0.972606,0.0821617,0.935602,0.118789,23.17550812,15099
48.776634,-45.664814,5876.08,1.02326,0.0883586,1.06853,0.127802,24.42873405,15131
48.949801,57.140594,10000,2.42748,1.42717,2.561134276,0.432199,9.79772,15192
48.990358,-77.388468,6612,1.86228,0.16681,1.55054,0.366312,29.39447344,15201
49.0576,58.1674,3655,0.479,0.022,0.535,0.019,21.96974418,15220
49.0582,58.1688,3444,0.468,0.022,0.523,0.02,19.17104181,15220
49.442379,-62.575351,5743.62,0.884416,0.0329131,0.964673482,0.0620831,12.11974306,15330
49.5166,-30.4033,3823,0.54,0.016,0.593,0.004,31.23381258,15360
49.5312,38.2521,3666,0.598,0.023,0.621,0.018,18.89513504,15366
49.553423,-62.506401,5866.4,0.972524,0.0343468,1.010775672,0.0644985,13.7597,15371
49.7427,-36.393,3492,0.464,0.026,0.518,0.025,28.31913606,15439
49.757913,-2.843181,5732,0.945252,0.080354,1.04155,0.124047,23.84722514,15442
49.840384,3.370165,5711.88,1.14201,0.0957838,1.01445,0.123813,9.159186664,15457
49.981827,-43.069806,5401,NaN ,NaN  ,0.7,NaN,6.059871531,15510
50.3408,79.9673,3604,0.418,0.013,0.462,0.005,25.29880456,15638
50.8162,-49.9941,3872,0.578,0.018,0.602,0.013,25.89886321,15771
50.897043,-40.076409,5257.46,0.929053,0.0841944,0.836641,0.0989454,18.23817422,15799
51.027,23.785,3642,0.668,0.02,0.685,0.013,19.44240565,15844
51.546291,-30.617813,5466.99,0.842226,0.0726816,0.952078,0.121638,28.98315499,16012
53.232662,-9.45829,NaN,NaN ,NaN  ,0.83,NaN,3.218020917,16537
53.361739,59.416779,5256,1.18456,0.103004,1.04044,0.123981,31.80651461,16581
54.196934,0.587799,NaN,NaN ,NaN  ,NaN      ,NaN,30.6843,16846
54.2183,0.401603,6033.55,1.83125,0.155327,1.16098,0.167646,13.71930306,16852
55.091998,-3.216906,5879.99,1.18533,0.100873,1.10323,0.138893,26.13702597,17147
55.466608,-10.69786,5308,0.805639,0.096565,0.913436,0.114128,30.29248044,17265
55.653682,17.293523,5675.78,1.18174,0.115654,1.2449,0.218853,25.80645161,17336
55.812064,-9.763381,5037,2.68041,0.227453,0.954708,0.122071,9.043226623,17378
55.9385,16.6673,3695,0.522,0.015,0.578,0.003,24.90147084,17405
55.969,16.672,3800,0.599,0.017,0.623,0.011,20.50217801,17414
56.038269,-38.281773,5181.84,0.822369,0.0708001,0.856737,0.102165,16.21058194,17439
56.049826,-64.806905,NaN,NaN ,NaN  ,NaN      ,NaN,29.8597,17440
56.203632,46.035801,5432,1.04172,0.1269,0.946794,0.120799,25.8866,17491
56.350559,-27.862552,4740,0.817202,0.0861756,0.7207,0.0862036,21.76278564,17544
56.5839,26.2155,3829,0.601,0.018,0.624,0.012,17.85151175,17609
56.712044,-23.249745,6685,1.56576,1.48348,1.41515257,0.318155,17.9243592,17651
56.760918,41.428428,4950,0.920712,0.135801,1.10734,0.140601,24.49179525,17666
56.9921,2.7878,3753,0.461,0.014,0.515,0.004,30.81591021,17743
58.023319,22.671615,5633.02,0.929017,0.0769723,0.989059,0.124585,29.68521795,18097
58.616783,16.616084,5531,1.45326,0.123754,1.37953,0.30206,20.42759032,18267
59.048093,59.641971,5743.62,1.33877,0.116727,1.15753,0.165717,21.39495002,18413
59.1975,53.5602,3811,0.647,0.041,0.667,0.035,30.20821057,18465
60.612364,-61.356988,5735.26,1.06983,0.092655,1.01419,0.123822,23.99111369,18844
60.653177,-0.268936,6221,1.15513,0.0561818,1.212271163,0.0824527,19.23076923,18859
61.113111,59.155476,7410.95,1.83971,1.45821,1.692812051,0.377946,9.63229,19018
61.334425,22.008838,5848,1.64901,0.139349,1.0183,0.12374,16.73501743,19076
61.751929,29.001301,6870.5,NaN ,NaN  ,NaN      ,NaN,27.57859901,19205
61.839845,-64.222374,5794.38,1.07215,0.0988185,1.03143,0.123622,20.42190786,19233
