    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
WISEPA J065609.60+420531.0 |  |                   | 6 |56|  9.6 | +42| 5|31|16.60|    |T3  |     |     |     |     |     |15.45|14.87|14.83|      |14.32|13.23|11.79|    |    |    |      |          | 2011|      |
2MASS J07003664+3157266 A  | x|J07003664+3157266  | 7 | 0| 36.6 | +31|57|27|11.36|0.18|L3.5|     |     |     |     |     |13.17|12.21|11.58|      |     |     |     |2100|0.84|74  |      |          | 1999|      |
2MASS J07003664+3157266 B  | x|J07003664+3157266  | 7 | 0| 36.6 | +31|57|27|11.36|0.18|L6  |     |     |     |     |     |14.66|13.61|12.97|      |     |     |     |    |    |63  |  2.1 |       12 |     |      |
WISEP J070159.79+632129.2  |  |                   | 7 | 1| 59.8 | +63|21|29|19.00|  ? |T3  |     |     |     |     |     |15.79|15.08|14.88|      |14.20|13.22|12.48|    |    |    |      |          | 2013|      |
DENIS-P J0703238-611004    |  |                   | 7 | 3| 23.8 | -61|10| 5|28.40|5.40|L1  |     |     |     |     |17.91|14.47|     |     |13.08 |     |     |     |    |    |    |      |          | 2011|      |
WISEP J071322.55-291751.9  |  |                   | 7 |13| 22.3 | -29|17|48| 9.43|0.80|Y0  |     |     |     |     |     |19.64|19.85|     |      |18.35|14.48|12.67| 422|0.92|20  |      |          | 2012|      |
DENIS-P J0716478-063037    |  |J07164790-0630369  | 7 |16| 47.9 | -06|30|37|24.44|0.09|L1  |     |     |     |     |17.48|13.90|13.07|12.57|      |     |     |     |    |    |79  |      |          | 2002|      |
2MASS J07171626+5705430    |  |J07171626+5705430  | 7 |17| 16.2 | +57| 5|44|12.00|1.00|L3  |     |     |     |     |     |14.64|13.59|12.95|      |12.30|11.94|11.34|2100|    |    |      |          | 2000|      |
DENIS-P J0719317?505141    |  |J07193188-5051410  | 7 |19| 32.1 | -50|51|42|28.90|1.84|L0  |     |     |     |     |17.44|14.09|13.28|12.77|12.91 |12.44|12.21|11.58|2000|1.00|    |      |          | 2004|      |
WISE J072003.20-084651.2   |  |                   | 7 |20|  3.2 | -08|46|51| 7.04|1.88|M9  |     |     |     |     |13.81|10.63|9.92 |9.47 |      |9.17 |8.86 |8.28 |    |    |    |      |          | 2014|      |
UGPS J072227.51-054031.2   |  |J07222760-0540384  | 7 |22| 27.6 | -05|40|38| 4.12|0.04|T9  |     |     |     |24.32|     |16.52|16.90|     |17.07 |15.15|12.17|10.18| 505|1.21| 7  |      |          | 2010|      |
2MASS J07230144-1616209    |  |J07230144-1616209  | 7 |23|  1.4 | -16|16|21|29.81|5.14|L0  |     |     |20.50|     |17.93|14.19|13.47|13.01|      |     |     |     |    |    |    |      |          | 2012|      |
WISEP J072312.44+340313.5  |  |                   | 7 |23| 12.4 | +34| 3|14|14.00|    |T9  |     |     |     |     |     |18.21|18.47|17.06|      |18.27|14.73|12.21| 525|    |    |      |          | 2013|      |
2MASS J07231462+5727081    |  |J07231462+5727081  | 7 |23| 14.6 | +57|27| 8|25.00|3.00|L1  |     |     |     |     |     |13.97|13.16|12.61|      |12.29|12.05|11.67|    |    |    |      |          | 2008|      |
2MASS J07271824+1710012    |  |J07271824+1710012  | 7 |27| 18.2 | +17|10| 1| 9.08|0.19|T8  |     |     |     |     |     |15.60|15.76|15.56|15.58 |15.23|12.97|11.62| 920|0.96|30  |      |          | 2002|      |
2MASS J07290002-3954043    |  |J07290002-3954043  | 7 |29|  0.0 | -39|54| 4| 7.92|0.52|T8  |     |     |     |24.18|     |15.92|15.98|15.29|      |15.25|12.95|11.34| 675|    |    |      |          | 2005|      |
WISEP J073347.94+754439.2  |  |                   | 7 |33| 47.9 | +75|44|39|24.00|    |T6  |     |     |     |     |     |17.20|17.75|15.81|      |17.16|14.77|12.20| 975|    |    |      |          | 2013|      |
WISEP J073444.02-715744.0  |  |                   | 7 |34| 44.0 | -71|57|44|10.70|    |Y0  |     |     |     |     |     |20.35|21.07|     |      |18.75|15.19|13.65| 375|    |    |      |          | 2012|      |
SDSS J074149.15+235127.5   |  |J07414920+2351275  | 7 |41| 49.2 | +23|51|28|18.00|2.00|T5  |     |     |     |     |     |16.16|15.84|15.85|16.22 |15.83|14.11|12.00|    |    |    |      |          | 2004|      |
SDSS J074201.41+205520.5   |  |J07420130+2055198  | 7 |42|  1.3 | +20|55|20|15.04|1.94|T5  |     |     |     |     |     |16.19|15.91|15.23|16.06 |15.53|13.71|11.98|    |    |    |      |          | 2003|      |
2MASS J07431157-1257055    |  |J07431157-1257055  | 7 |43| 11.6 | -12|57| 6| 1.22|3.05|M7  |     |     |20.66|     |18.66|15.83|14.99|14.52|      |     |     |     |    |    |    |      |          | 2012| UNCON|
WISEPA J074457.15+562821.8 |  |                   | 7 |44| 57.2 | +56|28|22|14.50|    |T8  |     |     |     |     |     |17.68|17.59|17.57|      |17.14|14.49|12.60| 675|    |    |      |          | 2011|      |
2MASS J07464256+2000321 A  | x|J07464256+2000321  | 7 |46| 42.2 | +20| 0|32|12.21|0.04|L0.5|19.87|     |17.40|16.09|15.11|12.28|11.56|10.47|11.05 |10.13|9.89 |9.38 |2205|0.99|74  |      |          | 2000|      |
2MASS J07464256+2000321 B  | x|J07464256+2000321  | 7 |46| 42.6 | +20| 0|32|12.21|0.04|L1.5|     |     |     |     |     |12.79|12.00|     |11.41 |     |     |     |2060|0.97|63  |2.897 |    12.71 | 2000|      |
WISEPA J075003.84+272544.8 |  |                   | 7 |50|  3.8 | +27|25|45|15.80|    |T8.5|     |     |     |     |     |18.69|19.00|18.63|18.10 |18.34|14.48|12.66| 675|    |    |      |          | 2011|      |
WISEPA J075108.79-763449.6 |  |                   | 7 |51|  8.8 | -76|34|50|12.00|    |T9  |     |     |     |     |     |19.34|19.02|     |      |17.13|14.47|11.84| 525|    |    |      |          | 2011|      |
DENIS-P J0751164-253043    |  |J07511645-2530432  | 7 |51| 16.5 | -25|30|43|17.76|0.03|L2.5|     |     |     |     |16.50|13.16|12.50|11.99|      |     |     |     |    |    |80  |      |          | 2006|      |
SDSS J075547.87+221215.6   |  |J07554795+2212169  | 7 |55| 48.0 | +22|12|17|18.00|2.00|T6  |     |     |     |     |     |15.73|15.67|15.75|      |15.43|13.50|12.51|    |    |    |      |          | 2002|      |
SDSS J075625.29+124455.3   |  |J07562529+1244560  | 7 |56| 25.3 | +12|44|56|30.00|3.00|L6  |     |     |     |     |     |16.66|15.76|14.73|      |14.19|13.58|12.03|    |    |    |      |          | 2000|      |
HD 65486 B                 | x|J07580434-2537356  | 7 |58|  1.6 | -25|39| 1|18.51|0.38|T4.5|     |     |     |     |     |16.12|15.80|15.86|      |15.92|13.82|     |1090|    |38  | 1630 |          | 2012|      |
SDSS J075840.33+324723.4   |  |J07584037+3247245  | 7 |58| 40.4 | +32|47|25|11.00|1.00|T2  |     |     |     |21.86|     |14.95|14.11|13.88|      |13.11|12.17|10.67|    |    |    |      |          | 2004|      |
WISEPC J075946.98-490454.0 |  |                   | 7 |59| 47.0 | -49| 4|54|11.90|    |T8  |     |     |     |     |     |17.38|17.41|     |      |17.68|13.81|13.03| 675|    |    |      |          | 2011|      |
SDSS J080027.57+551134.1   |  |                   | 8 | 0| 27.6 | +55|11|34|28.00|5.30|L1  |     |     |     |19.07|     |14.62|13.82|13.36|      |     |     |     |    |    |    |      |          | 2010|      |
SDSS J080140.52+462849.0   |  |J08014056+4628498  | 8 | 1| 40.6 | +46|28|50|26.00|2.00|L6.5|     |23.36|     |21.28|19.70|16.28|15.45|14.54|      |13.94|13.67|12.85|    |    |    |      |          | 2000|      |
SDSS-J080531.84+481233.0 A | x|J08053189+4812330  | 8 | 5| 31.8 | +48|12|33|22.94|0.58|L4.5|     |22.39|     |19.59|     |14.73|13.92|13.44|13.44 |12.89|12.43|11.97|    |    |82  |      |          | 1999|      |
SDSS-J080531.84+481233.0 B | x|J08053189+4812330  | 8 | 5| 31.8 | +48|12|33|22.94|0.58|T5  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |72  |      |          |     |      |
2MASS J08063490-4320470    |  |J08063490-4320470  | 8 | 6| 34.9 | -43|20|47|31.20|7.08|L3.5|     |     |     |     |18.66|15.39|14.55|14.11|      |     |     |     |    |    |    |      |          | 2012|      |
GJ 3483 B                  | x|J08065373-6618167  | 8 | 6| 53.7 | -66|18|17|19.16|0.62|Y   |     |     |     |     |     |23.90|     |     |      |     |     |     | 322|    | 8  |  130 |          | 2011|      |
WISE J080700.23+413026.8   |  |                   | 8 | 7|  0.2 | +41|30|27|17.00|1.00|L8  |     |     |     |     |     |15.84|14.78|14.35|      |13.47|13.11|12.09|    |    |    |      |          | 2013|      |
2MASS J08072925-3056330    |  |J08072925-3056330  | 8 | 7| 29.3 | -30|56|33|30.55|6.55|L3  |     |     |     |     |     |15.27|14.45|13.88|      |     |     |     |    |    |    |      |          | 2012|      |
SDSS J080959.01+443422.2   |  |J08095903+4434216  | 8 | 9| 59.0 | +44|34|22|25.00|5.00|L6  |     |     |     |     |     |16.44|15.18|14.42|      |13.34|12.80|11.60|    |    |    |      |          | 1999|      |
2MASS J08105865+1420390    |  |J08105865+1420390  | 8 |10| 58.7 | +14|20|39|17.80|1.20|M9  |19.60|     |     |     |     |12.71|12.05|11.61|      |     |     |     |    |    |    |      |          | 2003|      |
WISEP J081117.81-805141.3  |  |                   | 8 |11| 17.8 | -80|51|41| 9.80|    |T9.5|     |     |     |     |     |19.90|19.88|     |      |17.29|14.38|11.85| 525|    |    |      |          | 2012|      |
WISEP J081220.04+402106.2  |  |                   | 8 |12| 20.0 | +40|21| 6|19.50|    |T8  |     |     |     |     |     |18.39|18.30|19.15|      |18.24|15.08|12.76| 675|    |    |      |          | 2013|      |
DENIS-P J0812316-244442    |  |J08123170-2444423  | 8 |12| 31.7 | -24|44|42|21.15|0.04|L2.5|     |     |19.46|     |17.22|13.82|12.93|12.39|      |12.05|11.82|11.35|    |    |79  |      |          | 2008|      |
DENIS J081730.0-615520     |  |J08173001-6155158  | 8 |17| 30.0 | -61|55|16| 4.93|0.32|T6  |     |     |     |     |     |13.61|13.53|13.52|      |12.97|11.24|9.61 | 975|    |    |      |          | 2010|      |
SDSS J081757.49+182405.0   |  |                   | 8 |17| 57.5 | +18|24| 5|29.20|5.60|L1  |     |     |     |19.44|     |15.09|14.29|13.82|      |     |     |     |    |    |    |      |          | 2010|      |
ULAS J081918.58+210310.8   |  |                   | 8 |19| 18.6 | +21| 3|11|30.00|  ? |T5.5|     |     |     |     |     |16.95|17.28|     |17.18 |     |     |     |    |    |    |      |          | 2010|      |
WISEPA J081958.05-033529.0 |  |                   | 8 |19| 58.1 | -03|35|29|14.10|    |T4  |     |     |     |     |     |14.99|14.64|14.59|      |14.36|13.07|11.94|    |    |    |      |          | 2011|      |
SDSS J082029.92+450030.6   |  |J08202996+4500315  | 8 |20| 30.0 | +45| 0|32|28.00|3.00|L5  |     |     |     |     |20.00|16.28|15.00|14.22|      |13.51|13.17|12.22|    |    |    |      |          | 2000|      |
SDSS J082030.12+103737.0   |  |J08203013+1037372  | 8 |20| 30.1 | +10|37|37|30.00|5.00|L9.5|     |     |     |     |     |16.98|16.08|15.54|      |14.70|14.17|12.08|    |    |    |      |          | 2006|      |
WISEPA J082131.63+144319.3 |  |                   | 8 |21| 31.6 | +14|43|19|20.90|    |T5.5|     |     |     |     |     |16.78|16.59|16.58|      |16.44|14.28|12.57| 700|    |    |      |          | 2011|      |
DENIS-P J0823031-491201 A  | x|J08230313-4912012  | 8 |23|  3.1 | -49|12| 1|20.76|0.08|L1.5|     |     |20.02|     |17.10|13.55|12.64|12.06|      |     |     |     |    |    |78  |      |          | 1997|      |
DENIS-P J0823031-491201 B  | x|J08230313-4912012  | 8 |23|  3.1 | -49|12| 1|20.76|0.08|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |29  | 0.36 |    0.675 | 2013|      |
2MASS J08230838+6125208    |  |J08230838+6125208  | 8 |23|  8.4 | +61|25|21|30.00|  ? |L2  |     |     |     |     |     |14.82|13.81|13.20|      |12.75|12.41|12.50|    |    |    |      |          | 2008|      |
SDSS J082348.15+242857.9   |  |J08234818+2428577  | 8 |23| 48.2 | +24|28|58|29.00|3.00|L3  |     |     |     |19.56|     |14.99|14.06|13.38|      |12.81|12.48|12.03|    |    |    |      |          | 2000|      |
WISEA J082507.37+280548.2  |  |                   | 8 |25|  7.4 | +28| 5|49|10.00|0.30|Y0.5|     |     |     |     |     |22.40|22.97|     |      |18.44|14.58|11.66| 400|    |    |      |          | 2015|      |
SDSS J082519.45+211550.3   |  |J08251968+2115521  | 8 |25| 19.7 | +21|15|52|10.70|0.10|L7.5|22.50|     |21.75|20.60|19.22|15.10|13.79|13.03|12.93 |12.08|11.57|10.39|    |    |    |      |          | 2000|      |
DENIS-P J0828343-130919    |  |J08283419-1309198  | 8 |28| 34.2 | -13| 9|20|11.65|0.02|L2  |     |     |     |     |16.06|12.80|11.85|11.30|      |10.92|10.67|10.13|2300|0.93|77  |      |          | 2002|      |
SDSS J082906.61+145620.7   |  |J08290664+1456225  | 8 |29|  6.6 | +14|56|23|30.30|2.40|L2  |     |     |     |19.17|     |14.75|13.80|13.17|      |12.82|12.52|12.16|    |    |    |      |          | 2000|      |
SDSS J082957.04+265509.8   |  |J08295707+2655099  | 8 |29| 57.1 | +26|55|10|31.00|3.00|L6.5|     |     |     |     |20.60|17.11|15.81|14.96|      |13.90|13.39|12.63|    |    |    |      |          | 2000|      |
SDSSp J083008.12+482847.4  |  |J08300825+4828482  | 8 |30|  8.3 | +48|28|48|13.09|0.59|L8  |     |23.59|     |21.26|     |15.44|14.34|13.68|13.69 |     |     |     |    |    |    |      |          | 2002|      |
SDSS J083048.80+012831.1   |  |J08304878+0128311  | 8 |30| 48.8 | +01|28|31|23.20|3.28|T4.5|     |     |     |24.13|     |16.29|16.14|16.36|16.38 |15.75|14.05|12.58|    |    |    |      |          | 2004|      |
2MASS J08311868-3437230    |  |J08311868-3437230  | 8 |31| 18.7 | -34|37|23|30.08|5.50|L2.5|     |     |     |     |18.73|15.08|14.37|13.90|      |     |     |     |    |    |    |      |          | 2012|      |
SDSS J083204.51-012836.0   |  |J08320451-0128360  | 8 |32|  4.6 | -01|28|36|24.90|1.80|L1.5|     |     |     |     |17.90|14.13|13.32|12.71|      |12.41|12.16|11.63|    |    |    |      |          | 2000|      |
2MASS J08354256-0819237    |  |J08354256-0819237  | 8 |35| 42.6 | -08|19|24| 8.53|0.81|L5  |21.00|     |     |     |     |13.17|11.94|11.14|      |10.39|10.04|9.47 |2200|0.33|    |      |          | 2002|      |
SDSS J083558.28+054830.7   |  |J08355829+0548308  | 8 |35| 58.3 | +05|48|31|24.00|4.00|L2  |     |     |     |     |     |14.53|13.68|13.17|      |12.72|12.39|12.00|    |    |    |      |          | 2000|      |
SDSSp J083717.22-000018.3  |  |A J08371718-000017 | 8 |37| 17.2 | -00| 0|18|29.67|1.84|T0  |     |     |     |23.79|     |17.10|15.99|15.67|15.05 |15.39|14.68|12.77|    |    |    |      |          | 2000|      |
2MASS J08441409-2924121    |  |J08441409-2924121  | 8 |44| 14.1 | -29|24|12|29.20|2.95|L4  |     |     |     |     |     |15.41|14.57|13.84|      |     |     |     |    |    |    |      |          | 2012|      |
2MASSI J0847287-153237     |  |J08472872-1532372  | 8 |47| 28.7 | -15|32|37|13.07|0.60|L2  |     |     |     |     |     |13.51|12.63|12.06|      |11.71|11.45|10.93|2200|    |    |      |          | 2003|      |
SDSS J085234.90+472035.0   |  |J08523490+4720359  | 8 |52| 34.9 | +47|20|36|19.00|2.00|L9.5|     |     |     |     |     |16.18|15.42|14.72|      |13.76|13.18|11.74|    |    |    |      |          | 2002|      |
GJ 3517                    |  |J08533619-0329321  | 8 |53| 36.2 | -03|29|32| 8.56|0.11|M9  |18.80|     |     |     |     |11.21|10.47|9.94 |9.91  |     |     |     |    |    |    |      |          | 1991| UNCON|
2MASS J08534782-4106556    |  |J08534782-4106556  | 8 |53| 47.8 | -41| 6|56|22.60|4.74|L6  |     |     |     |     |     |15.59|15.03|14.47|      |     |     |     |    |    |    |      |          | 2012|      |
WISE J085510.83-071442.5   |  |                   | 8 |55| 10.8 | -07|14|43| 2.31|0.08|Y   |     |     |     |     |     |25.00|22.70|18.60|      |17.82|14.02|11.25| 248|    | 7  |      |          | 2014|      |
2MASS J08564793+2235182 A  | x|J08564793+2235182  | 8 |56| 47.9 | +22|35|18|30.86|0.95|L5  |     |     |     |     |19.20|15.68|14.58|13.95|      |     |     |     |    |    |74  |      |          | 2003|      |
2MASS J08564793+2235182 B  | x|J08564793+2235182  | 8 |56| 47.9 | +22|35|18|30.86|0.95|L8  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |67  |  3.4 |       24 | 2003|      |
WISEPA J085716.25+560407.6 |  |                   | 8 |57| 16.3 | +56| 4| 8|12.90|    |T8  |     |     |     |     |     |17.65|17.49|17.69|      |17.07|14.03|12.49| 675|    |    |      |          | 2011|      |
SDSSp J085758.45+570851.4  |  |J08575849+5708514  | 8 |57| 58.5 | +57| 8|51|10.30|2.00|L8  |     |23.02|     |20.71|     |15.04|13.79|12.96|12.94 |12.03|11.42|10.30|    |    |    |      |          | 2002|      |
SDSS J085834.42+325627.7   |  |J08583467+3256275  | 8 |58| 34.7 | +32|56|28|18.00|1.00|T1  |     |     |     |     |     |16.45|15.38|14.76|      |14.05|13.46|12.26|    |    |    |      |          | 1999|      |
ULAS J085910.69+101017.1   |  |                   | 8 |59| 10.7 | +10|10|17|29.60|    |T7  |     |     |     |     |     |17.88|18.58|18.26|      |17.33|15.41|12.44| 825|    |    |      |          | 2008|      |
2MASSI J0859254-194926     |  |J08592547-1949268  | 8 |59| 25.5 | -19|49|27|15.29|1.43|L6  |     |     |     |     |     |15.53|14.44|13.75|      |12.88|12.38|10.99|    |    |    |      |          | 2000|      |
SDSS J085938.50+634133.5   |  |J08593854+6341355  | 8 |59| 38.5 | +63|41|36|25.00|3.00|L0  |     |     |     |17.95|     |13.70|12.89|12.39|      |12.00|11.75|11.43|    |    |    |      |          | 2006|      |
SDSS J090023.68+253934.3   |  |J09002367+2539345  | 9 | 0| 23.7 | +25|39|35|18.60|3.60|L6  |     |     |     |21.45|     |16.43|15.41|14.66|      |     |     |     |    |    |    |      |          | 2009|      |
ULAS J090116.23-030635.0   |  |                   | 9 | 1| 16.2 | -03| 6|35|15.97|0.66|T7.5|     |     |     |     |     |17.90|18.46|18.21|      |17.77|14.60|     | 635|0.96|    |      |          | 2007|      |
2MASS J09054654+5623117    |  |J09054654+5623117  | 9 | 5| 46.5 | +56|23|12|23.00|4.00|L5  |     |     |     |     |     |15.40|14.28|13.73|      |13.00|12.64|12.17|    |    |    |      |          | 2008|      |
WISEPA J090649.36+473538.6 |  |                   | 9 | 6| 49.4 | +47|35|39|15.80|    |T8  |     |     |     |     |     |18.16|17.81|18.54|      |17.34|14.60|12.55| 675|    |    |      |          | 2011|      |
SDSS J090837.91+503207.5   |  |J09083803+5032088  | 9 | 8| 38.0 | +50|32| 9| 8.20|1.60|L5  |     |     |     |20.03|     |14.55|13.48|12.95|      |12.10|11.64|10.71|    |    |    |      |          | 2003|      |
SDSS J090900.73+652527.2   |  |J09090085+6525275  | 9 | 9|  0.9 | +65|25|28|23.00|1.00|T1.5|     |     |     |     |     |16.03|15.21|15.17|      |14.47|13.42|     |    |    |    |      |          | 2002|      |
SDSS J090948.13+194043.9   |  |                   | 9 | 9| 48.1 | +19|40|44|30.80|5.90|L1  |     |     |     |19.13|     |14.73|13.93|13.44|      |     |     |     |    |    |    |      |          | 2010|      |
DENIS-P J0909575-065818    |  |J09095749-0658186  | 9 | 9| 57.5 | -06|58|19|23.53|2.33|L0  |     |     |     |     |17.21|13.89|13.09|12.54|12.51 |12.22|11.97|11.19|    |    |    |      |          | 1999|      |
2MASS J09111297+7401081    |  |J09111297+7401081  | 9 |11| 13.0 | +74| 1| 8|17.00|1.00|L0  |     |     |     |     |     |12.92|12.21|11.75|      |11.34|11.02|10.54|2000|    |    |      |          | 2003|      |
GJ 337 C                   | x|J09121469+1459396  | 9 |12| 14.7 | +14|59|40|20.48|0.39|L8  |     |     |     |     |     |15.51|14.62|14.76|14.04 |     |     |     |    |    |20  |  880 |          | 2001|      |
GJ 337 D                   | x|J09121469+1459396  | 9 |12| 14.7 | +14|59|40|20.48|0.39|T10 |     |     |     |     |     |     |     |14.84|      |     |     |     |    |    |20  | 10.9 |      152 | 2005|      |
2MASS J09153413+0422045 A  | x|J09153413+0422045  | 9 |15| 34.1 | +04|22| 5|14.80|3.00|L7  |     |     |     |     |     |14.55|13.53|13.01|      |12.08|11.70|10.95|    |    |75  |      |          | 2007|      |
2MASS J09153413+0422045 B  | x|J09153413+0422045  | 9 |15| 34.1 | +04|22| 5|14.80|3.00|L7  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |75  | 10.8 |      132 |     |      |
2MASS J09201223+3517429 A  | x|J09201223+3517429  | 9 |20| 12.0 | +35|17|40|28.82|0.75|L5.5|     |     |     |     |19.40|16.36|15.33|13.98|14.58 |13.28|12.79|12.46|1375|1.00|71  |      |          | 1999|      |
2MASS J09201223+3517429 B  | x|J09201223+3517429  | 9 |20| 12.2 | +35|17|43|28.82|0.75|L9  |     |     |     |     |     |16.40|15.53|13.98|14.90 |     |     |     |1320|1.00|71  | 1.44 |      6.7 | 2000|      |
WISEP J092055.41+453856.4  |  |J09205549+4539058  | 9 |20| 55.5 | +45|39| 6|24.00|    |L4.5|     |     |     |     |     |15.22|14.16|13.73|      |13.06|12.39|11.06|1700|    |    |      |          | 2011|      |
DENIS-P J0921141?210445    |  |J09211410-2104446  | 9 |21| 14.1 | -21| 4|45| 9.70|1.70|L1.5|     |     |     |     |16.50|12.78|12.15|11.69|11.83 |     |     |     |2000|0.98|    |      |          | 2006|      |
2MASS J09221952-8010399    |  |J09221952-8010399  | 9 |22| 19.5 | -80|10|40|27.00|6.00|L2  |     |     |     |     |     |15.28|14.29|13.68|      |     |     |     |    |    |    |      |          | 1999|      |
SDSS J092308.70+234013.7   |  |J09230861+2340152  | 9 |23|  8.6 | +23|40|15|13.70|2.60|L1  |     |     |     |18.23|     |13.85|13.16|12.81|      |     |     |     |    |    |    |      |          | 2010|      |
SDSS J092615.38+584720.9 A | x|J09261537+5847212  | 9 |26| 15.4 | +58|47|21|21.32|0.73|T3.5|     |     |     |     |     |15.90|15.31|15.45|      |15.24|13.66|12.73|    |    |73  |      |          | 1997|      |
SDSS J092615.38+584720.9 B | x|J09261537+5847212  | 9 |26| 15.4 | +58|47|21|21.32|0.73|T5  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |63  |  2.6 |       17 |     |      |
2MASSW J0928397-160312     |  |J09283972-1603128  | 9 |28| 39.7 | -16| 3|13|29.07|3.30|L2  |     |     |     |     |18.80|15.32|14.29|13.62|      |13.05|12.75|12.37|1950|1.00|    |      |          | 2000|      |
WISEPC J092906.77+040957.9 |  |                   | 9 |29|  6.8 | +04| 9|58|19.90|    |T6.5|     |     |     |     |     |17.21|17.37|17.40|17.40 |16.55|14.11|12.13| 975|    |    |      |          | 2011|      |
SDSS J092933.56+342952.4   |  |J09293364+3429527  | 9 |29| 33.6 | +34|29|53|25.10|5.20|L8  |     |     |     |     |     |16.60|15.44|14.64|      |13.87|13.25|12.09|    |    |    |      |          | 2000|      |
SDSS J093113.23+280227.1   |  |                   | 9 |31| 13.2 | +28| 2|27|31.00|5.90|L3  |     |     |     |19.62|     |14.98|14.26|13.73|      |     |     |     |    |    |    |      |          | 2010|      |
2MASS J09352803-2934596    |  |J09352803-2934596  | 9 |35| 28.0 | -29|34|60|29.00|2.00|L0  |     |     |     |     |     |14.04|13.31|12.82|      |     |     |     |    |    |    |      |          | 2006|      |
2MASS J09373487+2931409    |  |J09373487+2931409  | 9 |37| 34.9 | +29|31|41| 6.12|0.07|T7  |     |     |     |22.53|19.73|14.65|14.70|15.27|15.40 |14.07|11.65|10.69| 810|0.79|58  |      |          | 2002|      |
2MASS J09393548-2448279    |  |J09393548-2448279  | 9 |39| 35.5 | -24|48|28| 5.34|0.13|T8  |     |     |     |     |     |15.98|15.80|16.56|16.83 |15.03|11.64|     | 750|    |58  |      |          | 2000|      |
WISE J094305.98+360723.5   |  |                   | 9 |43|  6.0 | +36| 7|24| 9.35|2.75|T9.5|     |     |     |     |     |19.77|20.32|     |      |18.18|14.41|12.29| 475|    |    |      |          | 2013|      |
2MASS J09490860-1545485    |  |J09490860-1545485  | 9 |49|  8.6 | -15|45|49|18.08|2.16|T2  |     |     |     |     |     |16.15|15.26|15.23|      |14.88|14.00|12.52|    |    |    |      |          | 2005|      |
LHS 6176 B                 | x|                   | 9 |50| 47.3 | +01|17|34|18.73|1.23|T8  |     |     |     |25.91|     |18.02|18.24|     |18.69 |18.05|14.48|12.85|    |    |    |  970 |          | 2013|      |
WISEPC J095259.29+195507.3 |  |                   | 9 |52| 59.3 | +19|55| 7|22.10|    |T6  |     |     |     |     |     |17.13|17.22|17.34|      |17.25|14.39|12.47| 975|    |    |      |          | 2011|      |
DENIS-P J0953213?101420    |  |J09532126-1014205  | 9 |53| 21.3 | -10|14|21|22.00|1.00|L0  |     |     |     |     |16.82|13.47|12.64|12.14|12.11 |11.76|11.40|10.76|    |    |    |      |          | 2002|      |
ULAS J0954+0623            |  |                   | 9 |54| 30.2 | +06|23|14|25.00|  ? |T5.5|     |     |     |     |     |16.59|16.89|     |17.17 |     |     |     |    |    |    |      |          | 2012|      |
SDSS J100016.92+321829.4   |  |J10001708+3218306  |10 | 0| 17.1 | +32|18|31|27.20|5.40|L3.5|     |     |     |21.05|     |16.62|15.70|15.36|      |     |     |     |    |    |    |      |          | 2009|      |
G 196-3 B                  | x|J10042066+5022596  |10 | 4| 20.7 | +50|22|60|32.00|2.00|L3  |     |     |20.78|19.88|18.28|14.83|13.65|12.78|12.49 |     |     |     |1870|1.26|25  |  300 |          | 1998|      |
SDSS J100435.88+565757.4   |  |J10043591+5657572  |10 | 4| 35.9 | +56|57|57|31.30|6.10|L0  |     |23.64|     |20.82|     |16.67|15.81|15.43|      |     |     |     |    |    |    |      |          | 2010|      |
LHS 5166 B                 | x|J10043929-3335189  |10 | 4| 39.3 | -33|35|19|19.00|2.00|L4  |     |     |     |     |     |14.48|13.49|12.92|      |12.29|12.00|12.67|    |    |73  |  160 |          | 1999|      |
DENIS-P J1004403?131818    |  |J10044030-1318186  |10 | 4| 40.3 | -13|18|19|18.25|1.86|L0  |     |     |     |     |17.80|14.69|13.88|13.36|13.17 |12.77|12.48|12.21|    |    |    |      |          | 2010|      |
SDSS J100711.74+193056.2   |  |J10071185+1930563  |10 | 7| 11.9 | +19|30|56|28.30|6.70|L8  |     |     |     |     |     |16.87|15.76|15.00|      |     |     |     |    |    |    |      |          | 2002|      |
2MASS J10073369-4555147    |  |J10073369-4555147  |10 | 7| 33.7 | -45|55|15|14.08|1.03|T5  |     |     |     |     |     |15.65|15.69|15.56|      |15.63|13.81|12.66|    |    |    |      |          | 2000|      |
2MASSI J1010148-040649     |  |J10101480-0406499  |10 |10| 14.8 | -04| 6|50|16.72|2.27|L6  |     |     |     |     |     |15.51|14.39|13.62|      |     |     |     |    |    |    |      |          | 2000|      |
