    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
WISE J165842.56+510335.0   |  |                   |16 |58| 42.6 | +51| 3|35|15.00|1.00|L6  |     |     |     |     |     |15.06|14.18|13.66|      |13.18|12.80|12.26|    |    |    |      |          | 2013|      |
2MASS J17054744-5441513    |  |J17054744-5441513  |17 | 5| 47.4 | -54|41|51|27.20|5.70|M8.5|     |     |19.09|     |16.38|13.64|12.75|12.35|      |     |     |     |    |    |    |      |          | 2008| UNCON|
DENIS-P J170548.38-051645.7|  |J17054834-0516462  |17 | 5| 48.3 | -05|16|46|22.47|6.06|L4  |     |     |     |     |16.60|13.31|12.55|12.03|12.10 |     |     |     |2200|0.31|    |      |          | 2002|      |
SDSS J170718.32+643933.2   |  |J17071830+6439331  |17 | 7| 18.3 | +64|39|33|16.00|1.00|M9  |     |19.35|18.80|16.55|14.80|12.54|11.79|11.38|      |     |     |     |    |    |    |      |          | 1995| UNCON|
2MASS J17072343-0558249 B  | x|J17072343-0558249  |17 | 7| 23.4 | -05|58|25|15.00|1.00|L3  |     |     |     |     |     |13.96|12.72|12.20|      |     |     |     |    |    |81  | 15.2 |      210 | 2003| UNCON|
DENIS-P J1707252?013809    |  |J17072529-0138093  |17 | 7| 25.3 | -01|38| 9|22.00|4.30|L2  |     |     |     |     |17.81|14.29|13.57|13.07|12.86 |     |     |     |    |    |    |      |          | 2010|      |
SDSS J170733.24+430130.1   |  |J17073334+4301304  |17 | 7| 33.3 | +43| 1|30|26.00|2.00|L0.5|     |     |     |     |17.60|13.97|13.18|12.62|      |     |     |     |    |    |    |      |          | 2003|      |
WISEP J170745.85-174452.5  |  |                   |17 | 7| 45.9 | -17|44|53|28.00|  ? |T5  |     |     |     |     |     |16.35|17.11|15.85|      |16.54|13.68|11.89|    |    |    |      |          | 2013|      |
WISEPA J171104.60+350036.8 B|x|                   |17 |11|  4.6 | +35| 0|37|19.00|3.00|T9.5|     |     |     |     |     |20.50|20.96|     |21.38 |     |     |     | 480|    |17  |   15 |      700 | 2012|      |
WISEPA J171104.60+350036.8 A|x|                   |17 |11|  4.6 | +35| 0|37|19.00|3.00|T8  |     |     |     |     |     |17.67|18.13|     |18.30 |18.27|14.61|12.72| 770|    |33  |      |          | 2011|      |
SDSS J171113.52+232633.2   |  |J17111353+2326333  |17 |11| 13.5 | +23|26|33|26.00|4.90|L0  |     |     |     |19.09|     |14.50|13.67|13.06|      |     |     |     |    |    |    |      |          | 2007|      |
