id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
75024,75253,136713,,GJ 1191,,,15.37686,-10.661123,22.1141,-57.74,-202.38,-5.3,7.97,6.247,K2V,0.97,-13.778665,-16.806029,-4.091096,0.00000114,0.00001115,-0.00002032,4.025652483,-0.186071701,-2.80E-07,-9.81E-07,,,Lib,1,75024,,0.276184944,,,
75037,75266,136834,,GJ 1192,,,15.378485,1.418627,25.8131,-363.59,-363.87,-26.1,8.28,6.221,K3V,0.992,-16.352282,-19.962429,0.639054,-0.000019,0.0000486,-0.00004618,4.02607802,0.024759706,-1.76E-06,-1.76E-06,,,Ser,1,75037,,0.282878539,,,
75048,75277,136923,,,,,15.379678,18.91896,19.604,-230.3,77.5,-10.7,7.16,5.698,K0,0.804,-11.74718,-14.349765,6.356183,-0.00000887,0.00002372,0.00000342,4.026390322,0.330198146,-1.12E-06,3.76E-07,,,Ser,1,75048,,0.457930953,,,
75083,75312,137107,5727,Gl 584A,2Eta CrB,,15.38675,30.287812,17.8635,125.77,-176.48,-7.3,4.99,3.73,G2V,0.577,-9.748862,-11.953838,9.009316,0.00000764,-0.00000786,-0.00001696,4.028241698,0.528622045,6.10E-07,-8.56E-07,Eta,2,CrB,1,75083,Gl 584,2.805433638,,,
75134,75363,136894,,,,,15.400674,-27.305224,28.5551,-3.15,-45.06,0,7.52,5.242,G8/K0V,0.721,-15.964491,-19.721622,-13.099097,0.00000146,0.0000025,-0.00000554,4.031887119,-0.476566061,-1.53E-08,-2.18E-07,,,Lib,1,75134,,0.696947396,,,
75150,75379,137052,5723,,31Eps Lib,,15.403303,-10.322266,31.2305,-68.52,-152.65,-10,4.92,2.447,F5IV,0.453,-19.315192,-23.894489,-5.596007,0.00000086,0.00001757,-0.0000209,4.032575242,-0.180157524,-3.32E-07,-7.40E-07,Eps,31,Lib,1,75150,,9.145343031,,,
75229,75458,137759,5744,,12Iot Dra,,15.415494,58.966065,31.027,-8.27,17.3,-11,3.29,0.831,K2III,1.166,-10.015969,-12.471787,26.585776,0.00000406,0.00000704,-0.0000083,4.035766949,1.02915199,-4.01E-08,8.39E-08,Iot,12,Dra,1,75229,,40.51352202,,,
75266,75495,,,,,,15.421655,74.452797,31.5756,-13.04,-248.2,0,9.42,6.923,,2.4,-5.28875,-6.607283,30.420248,-0.00002443,-0.00002733,-0.00001018,4.03737984,1.29944644,-6.32E-08,-1.20E-06,,,UMi,1,75266,,0.148183552,,9.476,9.376
75312,75542,137303,,NN 3905,,,15.432933,-26.705782,24.0964,-818.3,-9.93,-48,8.82,6.91,K3/K4V,1.045,-13.401809,-16.844618,-10.82895,-0.00004718,0.00009424,0.00002103,4.040332492,-0.46610383,-3.97E-06,-4.81E-08,,,Lib,1,75312,,0.149968484,,,
75443,75672,,,NN 3906,,,15.460562,10.594193,25.6345,-424.7,-262.53,0,9.9,7.856,K5,1.554,-15.544871,-19.831104,4.712947,-0.00004524,0.00002784,-0.00003207,4.047565655,0.184903553,-2.06E-06,-1.27E-06,,,Ser,1,75443,,0.062748016,,9.946,9.826
75457,75686,,,Gl 585.1,,,15.46186,2.597756,26.3435,-52.99,-17.57,0,10.2,8.097,M0,1.334,-16.228092,-20.717225,1.193989,-0.00000539,0.00000409,-0.00000224,4.047905583,0.045339401,-2.57E-07,-8.52E-08,,,Ser,1,75457,,0.050257398,,10.244,10.114
