,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pra,pdec,rv,ag,absag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,prarad,pdecrad,bayer,fla,con,comp,comp_primary,base,lu,var,var_in,var_ax,mass,mass_t,temperature,radius,radius_t,period,period_t,semiMajorAxis,semiMajorAxis_t,eccentricity,eccentricity_t
1550,69063,69285,,,,,,14.182637,-31.290326,16.7842,-320.7,126.71,0,10.77,9.645,M2V,,-12.064354,-7.756904,-8.717291,-1.86E-05,1.91E-05,8.81E-06,3.713005621,-0.546119214,-1.55E-06,6.14E-07,,,Cen,1,69063,,0.012078138,,10.856,10.676,0.55,0.003,3701,0.492,0.015,,,,,,
414,16030,16069,21749,,Gl 143,,,3.449713,-63.499101,16.8067,356.99,-247.77,57.3,8.08,6.953,K4.5V,1.13,4.643275,5.889283,-15.041235,-1.78E-05,2.44E-05,-6.15E-05,0.903132715,-1.108268389,1.73E-06,-1.20E-06,,,Ret,1,16030,,0.144145139,,8.109,7.979,,,,,,,,,,,
171,6365,6379,7924,,Gl 56.5,,,1.366439,76.710284,16.8095,-34.12,-34.45,-21.8,7.17,6.042,K0.5V,0.826,3.619426,1.352983,16.359155,-1.27E-06,-3.44E-06,-2.23E-05,0.357733009,1.338847031,-1.65E-07,-1.67E-07,,,Cas,1,6365,,0.333579997,,,,,,,,,,,,,,
2691,117832,118200,,,GJ 4383,,,23.975735,7.658646,16.8152,78.85,-312.68,0,11.78,10.651,M3.0V,1.5,16.664866,-0.105866,2.240977,3.44E-06,6.41E-06,-2.53E-05,6.276832739,0.133668584,3.82E-07,-1.52E-06,,,Psc,1,117832,,0.004781895,,11.871,11.691,0.507,0.018,3465,0.454,0.02,,,,,,
3333,118213,,,,GJ 1058,,,3.367837,2.942638,16.835,326.66,-730.27,0,14.78,13.649,M4.5,1.76,10.690281,12.976448,0.864244,-1.86E-05,1.93E-05,-5.95E-05,0.881697653,0.051358721,1.58E-06,-3.54E-06,GJ 1058,,,1,118213,,0.000302273,,,,,,,,,,,,,,
311,12319,12351,,,GJ 1049,,,2.650329,-58.187146,16.8435,-18.96,30.33,0,9.48,8.348,M0V,1.396,6.826055,5.678155,-14.313176,2.61E-06,1.60E-07,1.31E-06,0.693854445,-1.015557286,-9.19E-08,1.47E-07,,,Hor,1,12319,,0.039884119,,,,,,,,,,,,,,
452,17701,17743,,,Gl 155.1,,,3.799473,2.787806,16.8464,-386.87,-431.31,0,11.05,9.917,M0V,1.495,9.166296,14.110594,0.819361,2.74E-05,-1.58E-05,-3.52E-05,0.994699697,0.048656388,-1.88E-06,-2.09E-06,,,Tau,1,17701,,0.009401562,,11.099,10.969,0.515,0.004,3753,0.461,0.014,,,,,,
2087,91996,92283,174080,,Gl 727,,,18.808118,10.74545,16.8606,128.76,-436.85,-8.4,7.97,6.836,K0,1.07,3.478461,-16.19554,3.143578,9.92E-06,3.95E-06,-3.67E-05,4.923953731,0.187543482,6.24E-07,-2.12E-06,,,Aql,1,91996,,0.160546189,,8.076,7.946,,,,,,,,,,,
439,17372,17414,,,Gl 150.1B,,,3.731266,16.67202,17.7117,155.18,-319.87,13.3,9.99,8.749,K6V,1.42,9.49558,14.061364,5.081392,6.60E-07,2.48E-05,-2.24E-05,0.976843214,0.290981645,7.52E-07,-1.55E-06,,,Tau,2,17363,Gl 150.1,0.027567666,,,,0.623,0.011,3800,0.599,0.017,,,,,,
810,35043,35136,55575,2721,GJ 1095,,,7.263925,47.239964,16.8919,29.44,-186.12,85.2,5.54,4.402,F9V,0.576,-3.726139,10.846756,12.402653,-2.51E-05,6.58E-05,5.36E-05,1.901691144,0.824492906,1.43E-07,-9.02E-07,,,Lyn,1,35043,,1.510775732,,,,1.046965433,0.0715469,5888,1.16824,0.0577857,,,,,,
3335,118119,,,,GJ 1042,,,2.188751,39.922403,16.8919,1027.23,-494.37,29,14.52,13.382,DAZ6.9,0.33,10.885831,7.025016,10.841322,-4.64E-06,9.71E-05,-1.20E-05,0.573013734,0.696777374,4.98E-06,-2.40E-06,GJ 1042,,,1,118119,,0.000386545,,,,,,,,,,,,,,
453,17707,17749,23189,,Gl 153A,,,3.800252,68.67287,17.337,126.4,239.69,4.3,9.17,7.975,K2V,1.314,3.43374,5.28837,16.149783,-1.83E-05,-8.61E-06,1.14E-05,0.994903719,1.19856768,6.13E-07,1.16E-06,,,Ca,1,17707,Gl 153,0.056234133,,9.296,9.036,,,,,,,,,,,
378,14695,14731,,,GJ 3205,,,3.170964,5.908771,16.9147,-128.26,-551.33,0,11.82,10.679,M2.5V,1.5,11.352731,12.417347,1.741281,1.09E-05,-3.66E-06,-4.50E-05,0.830156332,0.103127507,-6.22E-07,-2.67E-06,,,Cet,1,14695,,0.004660151,EK,11.934,11.534,,,,,,,,,,,
1548,68843,69064,,,Gl 540,,,14.136762,80.597276,16.9205,208.59,-543.59,7.4,10.31,9.168,M3V,1.379,-2.342929,-1.467099,16.693229,-2.93E-05,-3.85E-05,1.80E-07,3.70099575,1.406687834,1.01E-06,-2.64E-06,,,Ca,1,68843,,0.018741312,,10.376,10.246,0.602,0.013,3733,0.578,0.019,,,,,,
3336,118291,,,,Gl 168.2,,,4.37039,19.486785,16.9205,148.38,-237.45,0,15.77,14.628,M3.5,1,6.6007,14.521491,5.6445,-8.39E-06,1.10E-05,-1.84E-05,1.144165401,0.34010856,7.19E-07,-1.15E-06,Gl 168.2,,,1,118291,,0.000122687,,,,,,,,,,,,,,
2238,99109,99427,193202,,Gl 786,,,20.181194,77.238971,16.9262,56.81,512.01,-1.1,8.88,7.737,K7V,1.32,2.02083,-3.145545,16.508111,-1.84E-05,3.72E-05,8.18E-06,5.283424271,1.348074347,2.75E-07,2.48E-06,,,Cep,1,99109,,0.070016436,,,,,,,,,,,,,,
1767,78886,79126,,,GJ 3942,,,16.150851,52.943874,16.9291,203.99,60.79,0,10.24,9.097,M0.5V,1.585,-4.74787,-9.02922,13.510193,1.67E-05,-4.27E-06,3.01E-06,4.228282797,0.924044919,9.89E-07,2.95E-07,,,Dra,1,78886,,0.020007831,,,,0.602,0.011,3808,0.578,0.017,,,,,,
2091,92155,92444,,,,,,18.839215,-26.923634,16.9291,-139.99,-22.95,0,9.65,8.507,K8V,1.459,3.289652,-14.731332,-7.66554,-1.14E-05,-1.67E-06,-1.68E-06,4.932094883,-0.469906061,-6.79E-07,-1.11E-07,,,Sgr,1,92155,,0.034450855,,,,,,,,,,,,,,
1401,62328,62523,111395,4864,Gl 486.1,,,12.813075,24.840226,16.9319,-334.55,-106.06,-8.7,6.29,5.146,G5V,0.703,-15.018549,-3.246037,7.112877,-1.48E-06,2.78E-05,-1.16E-05,3.354455061,0.433543728,-1.62E-06,-5.14E-07,,,Co,1,62328,,0.761377432,LW,6.323,6.283,0.977208,0.124356,5617,0.95945,0.0819528,,,,,,
2640,115720,116085,221354,,Gl 895.4,,,23.522665,59.165517,16.9319,1106.1,112.97,-24.3,6.76,5.616,K0V,0.839,8.610871,-1.081312,14.538416,-9.22E-06,9.27E-05,-1.66E-05,6.158219372,1.032633073,5.36E-06,5.48E-07,,,Cas,1,115720,,0.49385562,,,,1.03933,0.123922,5221,1.19566,0.101824,,,,,,
473,19028,19076,25680,1262,Gl 160,39    Tau,,4.088958,22.008905,16.9377,172.61,-130.08,23.9,5.9,4.756,G5V,0.62,7.532952,13.778856,6.347496,3.60E-07,3.02E-05,-7.40E-07,1.070486801,0.384127862,8.37E-07,-6.31E-07,,39,Tau,1,19028,,1.090435546,,,,1.0183,0.12374,5848,1.64901,0.139349,,,,,,
3389,118256,,,,Gl 153C,,,3.799828,68.680477,17.3822,107.51,280.07,0,11.6,10.399,M2V,,3.441911,5.300085,16.192691,-1.96E-05,-1.35E-05,8.58E-06,0.994792743,1.198700455,5.21E-07,1.36E-06,Gl 153C,,Ca,3,17707,Gl 153,0.006031148,,,,,,,,,,,,,,
3338,119341,,,,GJ 1251,,,20.467117,-76.688139,16.9492,651.43,-1273,122,13.82,12.674,M4.5,1.74,2.351507,-3.116366,-16.499867,-1.19E-06,9.05E-05,-0.00014553,5.358278743,-1.338460528,3.16E-06,-6.17E-06,GJ 1251,,,1,119341,,0.000741993,,,,,,,,,,,,,,
3339,119332,,,,Gl 781.3,,,20.171633,-21.780479,16.9492,116.13,-287.43,35,14.44,13.294,DA5.0,0.19,8.474862,-13.264712,-6.289689,2.12E-05,-1.55E-05,-3.52E-05,5.280921295,-0.380141074,5.63E-07,-1.39E-06,Gl 781.3,,,1,119332,,0.000419179,,,,,,,,,,,,,,
3340,118162,,,,NN 3173,,,2.641322,6.624401,16.9492,-484.54,-386.81,0,15.09,13.944,DA3.5,0.44,12.968689,10.736175,1.955264,2.82E-05,-2.83E-05,-3.16E-05,0.691496353,0.115617607,-2.35E-06,-1.88E-06,GJ 3173,,,1,118162,,0.000230356,,,,,,,,,,,,,,
3341,118241,,,,NN 3241,,,3.65806,24.969313,16.9492,104.42,204.93,0,12.79,11.644,M3.5V,,8.841322,12.566426,7.154813,-1.11E-05,-8.80E-07,1.53E-05,0.957677882,0.435796716,5.06E-07,9.94E-07,GJ 3241,,,1,118241,,0.00191602,,,,,,,,,,,,,,
3342,118349,,,,NN 3328,,,5.101023,4.339295,16.9492,359.01,89.51,0,11.54,10.394,M0V,1.51,3.940965,16.434707,1.28242,-2.88E-05,6.34E-06,7.33E-06,1.335444756,0.075734986,1.74E-06,4.34E-07,GJ 3328,,Ori,1,118349,,0.006058987,,,,,,,,,,,,,,
3344,118612,,,,NN 3545,,,9.275335,-62.072313,16.9492,-657.31,643.69,0,12.7,11.554,M3.5,,-6.001956,5.195452,-14.975287,-1.00E-08,7.14E-05,2.48E-05,2.428277131,-1.08336624,-3.19E-06,3.12E-06,GJ 3545,,,1,118612,,0.002081613,,,,,,,,,,,,,,
3345,118681,,,,NN 3599,,,10.425142,26.390106,16.9492,-283.99,-447.49,0,13.19,12.044,M3V,1.57,-13.910566,6.084125,7.533589,-5.63E-06,2.79E-05,-3.29E-05,2.729295692,0.460594244,-1.38E-06,-2.17E-06,GJ 3599,,,1,118681,,0.001325562,,,,,,,,,,,,,,
